cities,x,y
Istanbul,-425,207
Kocaeli,-362,185
Sakarya,-323,175
Düzce,-278,186
Bolu,-243,161
Karabük,-180,208
Zonguldak,-236,225
Bartın,-187,255
Kastamonu,-105,246
Sinop,-23,269
Samsun,51,221
Ordu,152,184
Giresun,219,176
Trabzon,302,191
Rize,380,195
Artvin,443,215
Ardahan,513,213
Kars,530,145
Erzurum,418,105
Ağrı,524,67
Iğdır,590,99
Van,568,-23
Bitlis,477,-29
Muş,442,12
Hakkari,595,-113
Şırnak,493,-113
Siirt,465,-79
Batman,408,-73
Mardin,373,-133
Şanlıurfa,248,-145
Diyarbakır,339,-67
Adıyaman,199,-90
Gaziantep,144,-142
Kilis,123,-178
Hatay,62,-211
Osmaniye,67,-140
Kahramanmaraş,111,-76
Adana,15,-125
Mersin,-96,-192
Karaman,-138,-141
Konya,-196,-58
Niğde,-43,-72
Aksaray,-98,-32
Kayseri,32,-16
Sivas,132,63
Malatya,185,-18
Elazığ,277,-23
Tunceli,284,30
Bingöl,370,25
Erzincan,255,79
Bayburt,337,130
Gümüşhane,273,143
Tokat,83,138
Yozgat,-5,78
Amasya,32,164
Çorum,-40,151
Çankırı,-125,163
Kırıkkale,-115,90
Kırşehir,-81,49
Nevşehir,-42,-4
Eskişehir,-289,74
Bilecik,-351,117
Bursa,-424,115
Yalova,-416,163
Tekirdağ,-537,204
Kırklareli,-530,262
Edirne,-593,215
Çanakkale,-588,111
Balıkesir,-509,81
Kütahya,-389,46
Afyonkarahisar,-314,-11
Uşak,-403,-18
Manisa,-489,-4
Izmir,-548,-46
Aydın,-496,-93
Muğla,-462,-155
Antalya,-298,-158
Denizli,-411,-99
Burdur,-360,-113
Isparta,-289,-80
Ankara,-186,96
